country_name,country_code,indicator_name,indicator_code,value,year
Ecuador,ECU,"Population of the official entrance age to secondary general education, both sexes (number)",UIS.SAP.23.GPV.G1,299787.0,2016
Ecuador,ECU,"Elderly literacy rate, population 65+ years, male (%)",UIS.LR.AG65.M,82.98528,2016
Ecuador,ECU,"Gross enrolment ratio, lower secondary, both sexes (%)",SE.SEC.ENRR.LO,115.956420898438,2016
Ecuador,ECU,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,49.8758316040039,2016
Ecuador,ECU,"Population of the official entrance age to primary education, both sexes (number)",UIS.SAP.1.G1,316325.0,2016
Ecuador,ECU,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,181086603556.567,2016
Ecuador,ECU,"Gross enrolment ratio, pre-primary, female (%)",SE.PRE.ENRR.FE,72.8791275024414,2016
Ecuador,ECU,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,107.622817993164,2016
Ecuador,ECU,"Illiterate population, 25-64 years, % female",UIS.ILLPOPF.AG25T64,58.39519,2016
Ecuador,ECU,"Literacy rate, population 25-64 years, gender parity index (GPI)",UIS.LR.AG25T64.GPI,0.98514,2016
Ecuador,ECU,Theoretical duration of secondary education (years),SE.SEC.DURS,6.0,2016
Ecuador,ECU,"Gross enrolment ratio, lower secondary, male (%)",SE.SEC.ENRR.LO.MA,114.528137207031,2016
Ecuador,ECU,"Gross intake ratio to Grade 1 of primary education, both sexes (%)",SE.PRM.GINT.ZS,102.632102966309,2016
Ecuador,ECU,"Population of the official age for pre-primary education, both sexes (number)",SP.PRE.TOTL.IN,961182.0,2016
Ecuador,ECU,GNI (current US$),NY.GNP.MKTP.CD,96758430284.5374,2016
Ecuador,ECU,"Primary completion rate, female (%)",SE.PRM.CMPT.FE.ZS,109.313270568848,2016
Ecuador,ECU,"Gross intake ratio to Grade 1 of primary education, female (%)",SE.PRM.GINT.FE.ZS,103.165100097656,2016
Ecuador,ECU,"Illiterate population, 25-64 years, both sexes (number)",UIS.ILLPOP.AG25T64,341525.359,2016
Ecuador,ECU,"Percentage of repeaters in primary education, all grades, male (%)",SE.PRM.REPT.MA.ZS,0.936200022697449,2016
Ecuador,ECU,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,41.1023431355324,2016
Ecuador,ECU,"Elderly literacy rate, population 65+ years, gender parity index (GPI)",UIS.LR.AG65.GPI,0.87542,2016
Ecuador,ECU,"Lower secondary completion rate, female (%)",SE.SEC.CMPT.LO.FE.ZS,106.216506958008,2016
Ecuador,ECU,"Percentage of repeaters in primary education, all grades, both sexes (%)",SE.PRM.REPT.ZS,0.82548999786377,2016
Ecuador,ECU,"Literacy rate, population 25-64 years, both sexes (%)",UIS.LR.AG25T64,95.48007,2016
Ecuador,ECU,"Out-of-school children of primary school age, female (number)",SE.PRM.UNER.FE,7538.0,2016
Ecuador,ECU,Theoretical duration of pre-primary education (years),UIS.THDUR.0,3.0,2016
Ecuador,ECU,"Net intake rate to Grade 1 of primary education, male (%)",SE.PRM.NINT.MA.ZS,55.2750396728516,2016
Ecuador,ECU,"Percentage of repeaters in primary education, all grades, female (%)",SE.PRM.REPT.FE.ZS,0.710399985313416,2016
Ecuador,ECU,"Population of the official age for lower secondary education, male (number)",SP.SEC.LTOT.MA.IN,458400.0,2016
Ecuador,ECU,"Percentage of teachers in primary education who are trained, both sexes (%)",SE.PRM.TCAQ.ZS,81.2194976806641,2016
Ecuador,ECU,"Adult illiterate population, 15+ years, male (number)",UIS.LP.AG15T99.M,263564.0,2016
Ecuador,ECU,"Population, ages 15-64, female",SP.POP.1564.FE.IN,5286579.0,2016
Ecuador,ECU,Percentage of students in secondary vocational education who are female (%),SE.SEC.ENRL.VO.FE.ZS,45.6843605041504,2016
Ecuador,ECU,"Elderly illiterate population, 65+ years, male (number)",UIS.LP.AG65.M,88790.0,2016
Ecuador,ECU,"Enrolment in secondary education, both sexes (number)",SE.SEC.ENRL,1932353.0,2016
Ecuador,ECU,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,104.564590454102,2016
Ecuador,ECU,"Elderly illiterate population, 65+ years, both sexes (number)",UIS.LP.AG65,254802.0,2016
Ecuador,ECU,"Gross enrolment ratio, primary, male (%)",SE.PRM.ENRR.MA,107.38932800293,2016
Ecuador,ECU,"Gross enrolment ratio, secondary, male (%)",SE.SEC.ENRR.MA,105.326530456543,2016
Ecuador,ECU,"Percentage of female teachers in secondary education who are trained, female (%)",SE.SEC.TCAQ.FE.ZS,78.1286392211914,2016
Ecuador,ECU,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,3.0,2016
Ecuador,ECU,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,93.31453,2016
Ecuador,ECU,"Net intake rate to Grade 1 of primary education, both sexes (%)",SE.PRM.NINT.ZS,55.2583999633789,2016
Ecuador,ECU,"Percentage of teachers in pre-primary education who are trained, both sexes (%)",UIS.TRTP.0,81.4958267211914,2016
Ecuador,ECU,Pupil-teacher ratio in lower secondary education (headcount basis),UIS.PTRHC.2,23.7747592926025,2016
Ecuador,ECU,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,342236.0,2016
Ecuador,ECU,"Percentage of teachers in lower secondary education who are trained, both sexes (%)",UIS.TRTP.2,75.2977294921875,2016
Ecuador,ECU,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,94.35023,2016
Ecuador,ECU,"Percentage of male students in secondary education enrolled in vocational programmes, male (%)",SE.SEC.ENRL.MA.VO.ZS,16.5662403106689,2016
Ecuador,ECU,"Population of the official age for the last grade of primary education, male (number)",SP.PRM.GRAD.MA,154048.0,2016
Ecuador,ECU,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,99.05711,2016
Ecuador,ECU,"Population of the official age for primary education, both sexes (number)",SP.PRM.TOTL.IN,1856609.0,2016
Ecuador,ECU,"Primary completion rate, male (%)",SE.PRM.CMPT.MA.ZS,108.385047912598,2016
Ecuador,ECU,"Youth literacy rate, population 15-24 years, gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,1.00159,2016
Ecuador,ECU,"Gross enrolment ratio, primary and secondary, gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,1.02016997337341,2016
Ecuador,ECU,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,4.69999980926514,2016
Ecuador,ECU,"Youth illiterate population, 15-24 years, male (number)",UIS.LP.AG15T24.M,15305.0,2016
Ecuador,ECU,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,10424.2641539122,2016
Ecuador,ECU,"Population, male",SP.POP.TOTL.MA.IN,8190175.0,2016
Ecuador,ECU,Duration of compulsory education (years),SE.COM.DURS,15.0,2016
Ecuador,ECU,"Net enrolment rate, pre-primary, female (%)",SE.PRE.NENR.FE,69.4817199707031,2016
Ecuador,ECU,GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,5191.09956048467,2016
Ecuador,ECU,"Enrolment in secondary education, female (number)",SE.SEC.ENRL.FE,965604.0,2016
Ecuador,ECU,GDP at market prices (current US$),NY.GDP.MKTP.CD,98613972000.0,2016
Ecuador,ECU,"Elderly illiterate population, 65+ years, female (number)",UIS.LP.AG65.F,166012.0,2016
Ecuador,ECU,"Percentage of male teachers in secondary education who are trained, male (%)",SE.SEC.TCAQ.MA.ZS,68.7157974243164,2016
Ecuador,ECU,Official entrance age to primary education (years),SE.PRM.AGES,6.0,2016
Ecuador,ECU,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,49.9856027468909,2016
Ecuador,ECU,"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",UIS.ROFST.2,1.25624001026154,2016
Ecuador,ECU,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,33558.0,2016
Ecuador,ECU,"Percentage of students in secondary education enrolled in vocational programmes, both sexes (%)",SE.SEC.ENRL.VO.ZS,15.2590103149414,2016
Ecuador,ECU,"Illiterate population, 25-64 years, female (number)",UIS.ILLPOP.AG25T64.F,199434.3681,2016
Ecuador,ECU,Official entrance age to upper secondary education (years),UIS.THAGE.3.A.GPV,15.0,2016
Ecuador,ECU,"Illiterate population, 25-64 years, male (number)",UIS.ILLPOP.AG25T64.M,142090.9908,2016
Ecuador,ECU,"Population of the official age for secondary education, female (number)",SP.SEC.TOTL.FE.IN,884318.0,2016
Ecuador,ECU,"Population of the official age for pre-primary education, female (number)",SP.PRE.TOTL.FE.IN,469594.0,2016
Ecuador,ECU,"Gross enrolment ratio, pre-primary, male (%)",SE.PRE.ENRR.MA,69.965087890625,2016
Ecuador,ECU,"Labor force, total",SL.TLF.TOTL.IN,8002354.0,2016
Ecuador,ECU,"Youth literacy rate, population 15-24 years, female (%)",SE.ADT.1524.LT.FE.ZS,99.13692,2016
Ecuador,ECU,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,184559311268.159,2016
Ecuador,ECU,Percentage of enrolment in secondary education in private institutions (%),SE.SEC.PRIV.ZS,26.8827209472656,2016
Ecuador,ECU,"Population of the official age for the last grade of primary education, female (number)",SP.PRM.GRAD.FE,147918.0,2016
Ecuador,ECU,Pupil-teacher ratio in pre-primary education (headcount basis),SE.PRE.ENRL.TC.ZS,21.7251605987549,2016
Ecuador,ECU,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,64.3928178998098,2016
Ecuador,ECU,"Elderly illiterate population, 65+ years, % female",UIS.LPP.AG65,65.15331,2016
Ecuador,ECU,"Literacy rate, population 25-64 years, female (%)",UIS.LR.AG25T64.F,94.79625,2016
Ecuador,ECU,"Net enrolment rate, secondary, male (%)",SE.SEC.NENR.MA,86.1835021972656,2016
Ecuador,ECU,"Percentage of female teachers in primary education who are trained, female (%)",SE.PRM.TCAQ.FE.ZS,82.4023895263672,2016
Ecuador,ECU,Percentage of students in secondary education who are female (%),SE.SEC.ENRL.FE.ZS,49.9703712463379,2016
Estonia,EST,Official entrance age to pre-primary education (years),UIS.THAGE.0,3.0,2016
Estonia,EST,"Labor force, total",SL.TLF.TOTL.IN,694474.0,2016
Estonia,EST,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,3.0,2016
Estonia,EST,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,6.80000019073486,2016
Estonia,EST,"Population of the official age for upper secondary education, female (number)",SP.SEC.UTOT.FE.IN,15657.0,2016
Estonia,EST,"Population, ages 0-14, female",SP.POP.0014.FE.IN,103711.0,2016
Estonia,EST,"Population of the official age for pre-primary education, both sexes (number)",SP.PRE.TOTL.IN,63283.0,2016
Estonia,EST,"Population of the official age for secondary education, both sexes (number)",SP.SEC.TOTL.IN,66067.0,2016
Estonia,EST,"Population, male",SP.POP.TOTL.MA.IN,616286.0,2016
Estonia,EST,Official entrance age to upper secondary education (years),UIS.THAGE.3.A.GPV,16.0,2016
Estonia,EST,"Population of the official age for lower secondary education, male (number)",SP.SEC.LTOT.MA.IN,17387.0,2016
Estonia,EST,"Population, ages 0-14 (% of total)",SP.POP.0014.TO.ZS,16.1956871236977,2016
Estonia,EST,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,48.5041916616029,2016
Estonia,EST,Internet users (per 100 people),IT.NET.USER.P2,87.23733209,2016
Estonia,EST,"Population, ages 0-14, total",SP.POP.0014.TO,213213.0,2016
Estonia,EST,"Population of the official age for primary education, both sexes (number)",SP.PRM.TOTL.IN,84217.0,2016
Estonia,EST,Official entrance age to primary education (years),SE.PRM.AGES,7.0,2016
Estonia,EST,"Population of the official entrance age to primary education, both sexes (number)",UIS.SAP.1.G1,15541.0,2016
Estonia,EST,"Population of the official age for upper secondary education, male (number)",SP.SEC.UTOT.MA.IN,16435.0,2016
Estonia,EST,"Population of the official age for upper secondary education, both sexes (number)",SP.SEC.UTOT.IN,32092.0,2016
Estonia,EST,"Population of the official entrance age to secondary general education, both sexes (number)",UIS.SAP.23.GPV.G1,11781.0,2016
Estonia,EST,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,38994215635.1767,2016
Estonia,EST,Official entrance age to lower secondary education (years),SE.SEC.AGES,13.0,2016
Estonia,EST,"Population, total",SP.POP.TOTL,1316481.0,2016
Estonia,EST,Official entrance age to post-secondary non-tertiary education (years),UIS.THAGE.4.A.GPV,18.0,2016
Estonia,EST,"Population, ages 15-64, male",SP.POP.1564.MA.IN,421120.0,2016
Estonia,EST,Theoretical duration of post-secondary non-tertiary education (years),UIS.THDUR.4.A.GPV,2.0,2016
Estonia,EST,Duration of compulsory education (years),SE.COM.DURS,9.0,2016
Estonia,EST,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,64.653523736668,2016
Estonia,EST,"Population, female",SP.POP.TOTL.FE.IN,700195.0,2016
Estonia,EST,GDP at market prices (current US$),NY.GDP.MKTP.CD,23337907618.5174,2016
Estonia,EST,"Population of the official age for secondary education, female (number)",SP.SEC.TOTL.FE.IN,32245.0,2016
Estonia,EST,GDP at market prices (constant 2005 US$),NY.GDP.MKTP.KD,23808677023.3013,2016
Estonia,EST,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,29620.0367762062,2016
Estonia,EST,Population growth (annual %),SP.POP.GROW,0.0816144197333096,2016
Finland,FIN,"Population, ages 15-64, female",SP.POP.1564.FE.IN,1704528.0,2016
Finland,FIN,Internet users (per 100 people),IT.NET.USER.P2,87.70364996,2016
Finland,FIN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,238295224590.887,2016
Finland,FIN,"Population, male",SP.POP.TOTL.MA.IN,2706055.0,2016
Finland,FIN,"Population of the official age for the last grade of primary education, female (number)",SP.PRM.GRAD.FE,27709.0,2016
Finland,FIN,Official entrance age to lower secondary education (years),SE.SEC.AGES,13.0,2016
Finland,FIN,"Labor force, total",SL.TLF.TOTL.IN,2687087.0,2016
Finland,FIN,PIRLS: Fourth grade students reaching the low international benchmark in reading achievement (%),LO.PIRLS.REA.LOW,98.0,2016
Finland,FIN,"Population of the official age for lower secondary education, male (number)",SP.SEC.LTOT.MA.IN,88488.0,2016
Finland,FIN,"Population, ages 0-14, total",SP.POP.0014.TO,899568.0,2016
Finland,FIN,PIRLS: Fourth grade students reaching the advanced international benchmark in reading achievement (%),LO.PIRLS.REA.ADV,18.0,2016
Finland,FIN,"Population of the official age for lower secondary education, both sexes (number)",SP.SEC.LTOT.IN,173073.0,2016
Finland,FIN,Population growth (annual %),SP.POP.GROW,0.283654477483623,2016
Finland,FIN,"Population of the official age for pre-primary education, male (number)",SP.PRE.TOTL.MA.IN,127893.0,2016
Finland,FIN,GDP at market prices (current US$),NY.GDP.MKTP.CD,238502900311.9,2016
Finland,FIN,"Population of the official entrance age to secondary general education, both sexes (number)",UIS.SAP.23.GPV.G1,56967.0,2016
Finland,FIN,Theoretical duration of pre-primary education (years),UIS.THDUR.0,4.0,2016
Finland,FIN,Duration of compulsory education (years),SE.COM.DURS,10.0,2016
Finland,FIN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,45050.0,2016
Finland,FIN,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,8.80000019073486,2016
Finland,FIN,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,217182948348.596,2016
Finland,FIN,PIRLS: Distribution of Reading Scores: 50th Percentile Score,LO.PIRLS.REA.P50,571.0,2016
Finland,FIN,"Population of the official age for post-secondary non-tertiary education, male (number)",UIS.SAP.4.M,102791.0,2016
Finland,FIN,"Unemployment, male (% of male labor force)",SL.UEM.TOTL.MA.ZS,9.10000038146973,2016
Finland,FIN,PIRLS: Distribution of Reading Scores: 75th Percentile Score,LO.PIRLS.REA.P75,612.0,2016
Finland,FIN,"Population, female",SP.POP.TOTL.FE.IN,2789041.0,2016
Finland,FIN,"Population of the official age for upper secondary education, both sexes (number)",SP.SEC.UTOT.IN,181263.0,2016
Finland,FIN,"Population of the official age for upper secondary education, female (number)",SP.SEC.UTOT.FE.IN,88828.0,2016
Finland,FIN,PIRLS: Fourth grade students reaching the high international benchmark in reading achievement (%),LO.PIRLS.REA.HI,62.0,2016
Finland,FIN,"Population of the official age for lower secondary education, female (number)",SP.SEC.LTOT.FE.IN,84585.0,2016
Finland,FIN,PIRLS: Distribution of Reading Scores: 5th Percentile Score,LO.PIRLS.REA.P05,449.0,2016
Finland,FIN,"Population of the official age for upper secondary education, male (number)",SP.SEC.UTOT.MA.IN,92435.0,2016
Finland,FIN,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,240703430394.674,2016
Finland,FIN,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,48.0497282000918,2016
Finland,FIN,"Population of the official age for secondary education, male (number)",SP.SEC.TOTL.MA.IN,180923.0,2016
Finland,FIN,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,3.0,2016
Finland,FIN,PIRLS: Distribution of Reading Scores: 25th Percentile Score,LO.PIRLS.REA.P25,526.0,2016
Finland,FIN,"Population of the official age for primary education, both sexes (number)",SP.PRM.TOTL.IN,354983.0,2016
Finland,FIN,"Population of the official age for the last grade of primary education, male (number)",SP.PRM.GRAD.MA,29102.0,2016
Finland,FIN,"Population of the official entrance age to primary education, both sexes (number)",UIS.SAP.1.G1,61595.0,2016
Finland,FIN,"Population, ages 15-64, total",SP.POP.1564.TO,3453353.0,2016
Germany,DEU,"Population of the official entrance age to primary education, both sexes (number)",UIS.SAP.1.G1,672558.0,2016
Germany,DEU,"Population of the official entrance age to secondary general education, female (number)",UIS.SAP.23.GPV.G1.F,340514.0,2016
Germany,DEU,"Population, male",SP.POP.TOTL.MA.IN,40683679.0,2016
Germany,DEU,PIRLS: Distribution of Reading Scores: 10th Percentile Score,LO.PIRLS.REA.P10,435.0,2016
Germany,DEU,"Population of the official age for the last grade of primary education, female (number)",SP.PRM.GRAD.FE,336094.0,2016
Germany,DEU,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,48884.7628722008,2016
Germany,DEU,"Population of the official age for secondary education, male (number)",SP.SEC.TOTL.MA.IN,3493499.0,2016
Germany,DEU,"Population of the official entrance age to primary education, female (number)",UIS.SAP.1.G1.F,327330.0,2016
Germany,DEU,Official entrance age to lower secondary education (years),SE.SEC.AGES,10.0,2016
Germany,DEU,PIRLS: Fourth grade students reaching the advanced international benchmark in reading achievement (%),LO.PIRLS.REA.ADV,11.0,2016
Germany,DEU,PIRLS: Fourth grade students reaching the high international benchmark in reading achievement (%),LO.PIRLS.REA.HI,47.0,2016
Germany,DEU,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,4.09999990463257,2016
Germany,DEU,"Population of the official age for primary education, female (number)",SP.PRM.TOTL.FE.IN,1325181.0,2016
Germany,DEU,PIRLS: Fourth grade students reaching the intermediate international benchmark in reading achievement (%),LO.PIRLS.REA.INT,81.0,2016
Germany,DEU,"Population, ages 0-14 (% of total)",SP.POP.0014.TO.ZS,13.0894633869742,2016
Germany,DEU,"Population of the official age for upper secondary education, female (number)",SP.SEC.UTOT.FE.IN,1180416.0,2016
Germany,DEU,Theoretical duration of secondary education (years),SE.SEC.DURS,9.0,2016
Germany,DEU,"Population of the official entrance age to primary education, male (number)",UIS.SAP.1.G1.M,345228.0,2016
Germany,DEU,"Population, total",SP.POP.TOTL,82667685.0,2016
Germany,DEU,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,50.7864781921597,2016
Germany,DEU,Theoretical duration of post-secondary non-tertiary education (years),UIS.THDUR.4.A.GPV,3.0,2016
Germany,DEU,"Population of the official age for pre-primary education, male (number)",SP.PRE.TOTL.MA.IN,1032715.0,2016
Germany,DEU,"Population, ages 15-64, male",SP.POP.1564.MA.IN,27429770.0,2016
Germany,DEU,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,44260.3596792706,2016
Germany,DEU,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,4109496003218.5,2016
Germany,DEU,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,43850.0,2016
Germany,DEU,"Unemployment, female (% of female labor force)",SL.UEM.TOTL.FE.ZS,3.70000004768372,2016
Germany,DEU,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,3.8,2016
Germany,DEU,"Population of the official age for primary education, male (number)",SP.PRM.TOTL.MA.IN,1397170.0,2016
Germany,DEU,"Population of the official age for the last grade of primary education, both sexes (number)",SP.PRM.GRAD.TO,690339.0,2016
Germany,DEU,Population growth (annual %),SP.POP.GROW,1.19386675821917,2016
Germany,DEU,"Population of the official age for lower secondary education, both sexes (number)",SP.SEC.LTOT.IN,4391792.0,2016
Germany,DEU,GNI (current US$),NY.GNP.MKTP.CD,3536579388511.95,2016
Germany,DEU,PIRLS: Distribution of Reading Scores: 50th Percentile Score,LO.PIRLS.REA.P50,544.0,2016
Germany,DEU,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,4041190178418.79,2016
Germany,DEU,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,46.4285854802434,2016
Germany,DEU,"Population, female",SP.POP.TOTL.FE.IN,41984006.0,2016
Germany,DEU,"PIRLS: Mean performance on the reading scale, male",LO.PIRLS.REA.MA,532.0,2016
Germany,DEU,Theoretical duration of pre-primary education (years),UIS.THDUR.0,3.0,2016
Germany,DEU,Official entrance age to primary education (years),SE.PRM.AGES,6.0,2016
Germany,DEU,PIRLS: Fourth grade students reaching the low international benchmark in reading achievement (%),LO.PIRLS.REA.LOW,95.0,2016
Germany,DEU,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,49.2135218078403,2016
Germany,DEU,PIRLS: Distribution of Reading Scores: 5th Percentile Score,LO.PIRLS.REA.P05,395.0,2016
Germany,DEU,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,65.640928159976,2016
Germany,DEU,Theoretical duration of upper secondary education (years),SE.SEC.DURS.UP,3.0,2016
Germany,DEU,PIRLS: Fourth grade students who did not reach the low international benchmark in reading achievement (%),LO.PIRLS.REA.BL,5.0,2016
Hungary,HUN,PIRLS: Distribution of Reading Scores: 95th Percentile Score,LO.PIRLS.REA.P95,668.0,2016
Hungary,HUN,"Population of the official age for primary education, male (number)",SP.PRM.TOTL.MA.IN,200645.0,2016
Hungary,HUN,PIRLS: Distribution of Reading Scores: 10th Percentile Score,LO.PIRLS.REA.P10,452.0,2016
Hungary,HUN,"Population of the official entrance age to primary education, both sexes (number)",UIS.SAP.1.G1,98427.0,2016
Hungary,HUN,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,45.6740621632985,2016
Hungary,HUN,Duration of compulsory education (years),SE.COM.DURS,8.0,2016
Hungary,HUN,"Population of the official entrance age to primary education, female (number)",UIS.SAP.1.G1.F,47936.0,2016
Hungary,HUN,Official entrance age to post-secondary non-tertiary education (years),UIS.THAGE.4.A.GPV,17.0,2016
Hungary,HUN,Theoretical duration of pre-primary education (years),UIS.THDUR.0,4.0,2016
Hungary,HUN,"Population of the official entrance age to secondary general education, male (number)",UIS.SAP.23.GPV.G1.M,49457.0,2016
Hungary,HUN,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,251712844227.699,2016
Hungary,HUN,"Labor force, total",SL.TLF.TOTL.IN,4687943.0,2016
Hungary,HUN,Theoretical duration of secondary education (years),SE.SEC.DURS,8.0,2016
Hungary,HUN,GDP at market prices (current US$),NY.GDP.MKTP.CD,125816640420.569,2016
Hungary,HUN,"Population of the official age for upper secondary education, female (number)",SP.SEC.UTOT.FE.IN,190618.0,2016
Hungary,HUN,PIRLS: Distribution of Reading Scores: 75th Percentile Score,LO.PIRLS.REA.P75,606.0,2016
Hungary,HUN,"Population of the official age for lower secondary education, both sexes (number)",SP.SEC.LTOT.IN,383792.0,2016
Hungary,HUN,"Population, ages 0-14, female",SP.POP.0014.FE.IN,685197.0,2016
Hungary,HUN,"Unemployment, male (% of male labor force)",SL.UEM.TOTL.MA.ZS,5.09999990463257,2016
Hungary,HUN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,12570.0,2016
Hungary,HUN,PIRLS: Fourth grade students reaching the low international benchmark in reading achievement (%),LO.PIRLS.REA.LOW,97.0,2016
Hungary,HUN,"PIRLS: Mean performance on the reading scale, male",LO.PIRLS.REA.MA,548.0,2016
Hungary,HUN,"Population of the official age for primary education, both sexes (number)",SP.PRM.TOTL.IN,391123.0,2016
Hungary,HUN,PIRLS: Fourth grade students reaching the high international benchmark in reading achievement (%),LO.PIRLS.REA.HI,56.0,2016
Hungary,HUN,Population growth (annual %),SP.POP.GROW,-0.25502295344954,2016
Hungary,HUN,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,4.0,2016
Hungary,HUN,"Population of the official age for secondary education, both sexes (number)",SP.SEC.TOTL.IN,775116.0,2016
Hungary,HUN,Official entrance age to pre-primary education (years),UIS.THAGE.0,3.0,2016
Hungary,HUN,Official entrance age to primary education (years),SE.PRM.AGES,7.0,2016
Hungary,HUN,"Population of the official age for primary education, female (number)",SP.PRM.TOTL.FE.IN,190478.0,2016
Hungary,HUN,GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,14991.1896995127,2016
Hungary,HUN,Official entrance age to lower secondary education (years),SE.SEC.AGES,11.0,2016
Hungary,HUN,"Population of the official age for secondary education, female (number)",SP.SEC.TOTL.FE.IN,377462.0,2016
Hungary,HUN,"Population, female",SP.POP.TOTL.FE.IN,5149515.0,2016
Hungary,HUN,Theoretical duration of post-secondary non-tertiary education (years),UIS.THDUR.4.A.GPV,3.0,2016
Hungary,HUN,"Population, total",SP.POP.TOTL,9817958.0,2016
Hungary,HUN,PIRLS: Fourth grade students reaching the advanced international benchmark in reading achievement (%),LO.PIRLS.REA.ADV,17.0,2016
Hungary,HUN,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,5.09999990463257,2016
Hungary,HUN,"Unemployment, female (% of female labor force)",SL.UEM.TOTL.FE.ZS,5.09999990463257,2016
Hungary,HUN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,265053545308.702,2016
Hungary,HUN,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,5.2,2016
Hungary,HUN,"Population of the official age for the last grade of primary education, both sexes (number)",SP.PRM.GRAD.TO,96990.0,2016
Hungary,HUN,PIRLS: Fourth grade students who did not reach the low international benchmark in reading achievement (%),LO.PIRLS.REA.BL,3.0,2016
Hungary,HUN,"PIRLS: Mean performance on the reading scale, total",LO.PIRLS.REA,554.0,2016
Hungary,HUN,"Population of the official age for pre-primary education, both sexes (number)",SP.PRE.TOTL.IN,389389.0,2016
Iceland,ISL,"Population, ages 0-14, female",SP.POP.0014.FE.IN,33050.0,2016
Iceland,ISL,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,65.7573223770882,2016
Iceland,ISL,"Population, ages 0-14 (% of total)",SP.POP.0014.TO.ZS,20.1672912769119,2016
Iceland,ISL,"Population of the official age for the last grade of primary education, male (number)",SP.PRM.GRAD.MA,2048.0,2016
Iceland,ISL,"Population of the official entrance age to primary education, both sexes (number)",UIS.SAP.1.G1,4697.0,2016
Iceland,ISL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,51398.9265058342,2016
Iceland,ISL,"Population of the official age for secondary education, male (number)",SP.SEC.TOTL.MA.IN,15455.0,2016
Iceland,ISL,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,15133743482.2441,2016
Iceland,ISL,"Population of the official age for upper secondary education, both sexes (number)",SP.SEC.UTOT.IN,17787.0,2016
Iceland,ISL,Official entrance age to lower secondary education (years),SE.SEC.AGES,13.0,2016
